time,lat,lon,P_1ac,T_28,C_51,S_41,depth,waterlevel
2018-11-02 17:45:30,47.0512439,-122.9053391,38.96,12.947,33205.023,27.652662513841065,3.8912916438546903,1.2282916438546905
2018-11-02 18:00:30,47.0512439,-122.9053391,41.235,12.923,34291.316,28.674440240097788,4.115315319990737,1.452315319990737
2018-11-02 18:15:30,47.0512439,-122.9053391,43.482,12.934,34382.535,28.751321083456364,4.339325671621498,1.6763256716214978
2018-11-02 18:30:30,47.0512439,-122.9053391,45.592,12.932,34435.668,28.802046612719153,4.549718749712237,1.8867187497122369
2018-11-02 18:45:30,47.0512439,-122.9053391,47.564,12.936,34484.727,28.84475321106224,4.746358790853004,2.0833587908530045
2018-11-02 19:00:30,47.0512439,-122.9053391,49.444,12.935,34507.195,28.866320847044783,4.933880488578442,2.270880488578442
2018-11-02 19:15:30,47.0512439,-122.9053391,51.272,12.913,34564.602,28.935267612340805,5.1160039694765365,2.4530039694765366
2018-11-02 19:30:30,47.0512439,-122.9053391,53.111,12.903,34612.313,28.986730439883548,5.299286302646785,2.6362863026467855
2018-11-02 19:45:30,47.0512439,-122.9053391,54.698,12.91,34655.207,29.02161334895273,5.4574963025272405,2.7944963025272407
2018-11-02 20:00:30,47.0512439,-122.9053391,56.128,12.903,34684.508,29.053854435852568,5.6000308179452105,2.9370308179452107
2018-11-02 20:15:30,47.0512439,-122.9053391,57.271,12.906,34696.832,29.06317078006348,5.714033667751258,3.0510336677512586
2018-11-02 20:30:30,47.0512439,-122.9053391,58.237,12.911,34720.605,29.08170232231558,5.810337168534954,3.147337168534954
2018-11-02 20:45:30,47.0512439,-122.9053391,59.177,12.918,34738.941,29.09374511635898,5.904075309833557,3.241075309833557
2018-11-02 21:00:30,47.0512439,-122.9053391,59.666,12.923,34763.289,29.11280537527001,5.952782378805686,3.2897823788056866
2018-11-02 21:15:30,47.0512439,-122.9053391,59.972,12.929,34779.578,29.12365448304251,5.983269033059705,3.3202690330597053
2018-11-02 21:30:30,47.0512439,-122.9053391,60.111,12.93,34785.023,29.128000578460707,5.9971181343121245,3.3341181343121247
2018-11-02 21:45:30,47.0512439,-122.9053391,59.961,12.931,34796.445,29.13790329423333,5.982109314697998,3.319109314697998
2018-11-02 22:00:30,47.0512439,-122.9053391,59.751,12.928,34804.465,29.147509135479368,5.961111693619367,3.2981116936193673
2018-11-02 22:15:30,47.0512439,-122.9053391,59.024,12.927,34815.406,29.158399163754776,5.888532292833607,3.225532292833607
2018-11-02 22:30:30,47.0512439,-122.9053391,58.123,12.921,34822.246,29.169062164183565,5.798590784528916,3.1355907845289166
2018-11-02 22:45:30,47.0512439,-122.9053391,56.766,12.925,34823.238,29.167116150309305,5.663223373715125,3.000223373715125
2018-11-02 23:00:30,47.0512439,-122.9053391,55.472,12.917,34817.781,29.16777815787768,5.534117353583418,2.871117353583418
2018-11-02 23:15:30,47.0512439,-122.9053391,53.826,12.919,34832.609,29.18013531214327,5.36985733343433,2.7068573334343298
2018-11-02 23:30:30,47.0512439,-122.9053391,52.119,12.92,34855.902,29.201083870713646,5.199480005603186,2.536480005603186
2018-11-02 23:45:30,47.0512439,-122.9053391,50.303,12.93,34871.199,29.208131295565995,5.0182952753716865,2.3552952753716867
2018-11-03 00:00:30,47.0512439,-122.9053391,48.573,12.949,34890.52,29.212454253541708,4.845709311456683,2.182709311456683
2018-11-03 00:15:30,47.0512439,-122.9053391,46.804,12.953,34862.379,29.18342555868545,4.6693374224776445,2.0063374224776447
2018-11-03 00:30:30,47.0512439,-122.9053391,45.046,12.955,34970.129,29.282157208515915,4.493618995502239,1.8306189955022396
2018-11-03 00:45:30,47.0512439,-122.9053391,43.378,12.955,34977.086,29.28862615327745,4.327204435244448,1.6642044352444478
2018-11-03 01:00:30,47.0512439,-122.9053391,41.736,12.956,34987.32,29.297422496897433,4.163378581544297,1.5003785815442972
2018-11-03 01:15:30,47.0512439,-122.9053391,40.109,12.954,34986.992,29.29855764341785,4.001072127148198,1.3380721271481986
2018-11-03 01:30:30,47.0512439,-122.9053391,38.561,12.954,34971.035,29.28371934857145,3.8466946067087275,1.1836946067087277
2018-11-03 01:45:30,47.0512439,-122.9053391,36.93,12.954,34966.75,29.279734934947108,3.684003526134937,1.0210035261349373
2018-11-03 02:00:30,47.0512439,-122.9053391,35.457,12.958,34973.695,29.283313880275145,3.5370554062829354,0.8740554062829355
